('01001211', 'Paradigm in Agricultural Extension')
('01418211', 'Software Construction')
('01418212', 'C Programming')
('01418213', 'COBOL Programming')
('01418214', 'Visual Programming')
('01418215', 'Object Oriented Programming')
('01418217', 'Software Construction')
('01418221', 'Fundamentals of Database Systems')
('01418231', 'Data Structures')
('01418232', 'Algorithms Design & Analysis')
('01418233', 'Assembly Language and Computer Architecture')
('01418235', 'Unix Operating System & Shell Programming')
('01418240', 'C Programming')
('01418322', 'Principles of Information System')
('01418323', 'Introduction to Data Science')
('01418328', 'Decision Support & Bus.Intelligent Systems')
('01418331', 'Assembly Language and Computer Architecture')
('01418332', 'Operating Systems')
('01418333', 'Formal Language & Automata Theory')
('01418342', 'Web Application Programming')
('01418343', 'Intellectual Property for Software & Digital Contents')
('01418346', 'Mobile Application Design & Development')
('01418353', 'Compu.System & Communication Network Security')
('01418354', 'Cloud Computing Concepts & Services')
('01418381', 'Principles of Computer Animation')
('01418384', 'Image Analysis & Computer Vision')
('01418390', 'Cooperative Education Preparation')
('01418399', 'Computer Science Project Preparation')
('01418421', 'Human Computer Interaction')
('01418442', 'Business Data Dimension & Report Management')
('01418443', 'Web Technology & Web Services')
('01418451', 'Network Design & Administration')
('01418462', 'Theory of Artificial Intelligence')
('01418471', 'Introduction to Software Engineering')
('01418472', 'Project Management & Control')
('01418473', 'Computer Control & Audit')
('01418476', 'Software Testing & Verification')
('01418496', 'Selected Topics in Computer Science')
('01418497', 'Seminar')
('01418499', 'Computer Science Project')
('01418534', 'Computer System')
('01418571', 'Applied Software Engineering')
('01418582', 'Computer Vision')
('01418591', 'Research Methods in Computer Science')
('01418595', 'Independent Study')
('01418596', 'Selected Topics in Computer Science')
('01418599', 'Thesis')
('01418691', 'Advanced Research Methods in Computer Science')
('01418692', 'Current Topics in Computer Science')
('01418696', 'Selected Topics in Computer Science')
('01418697', 'Seminar')
('01418699', 'Thesis')
('01419211', 'General Microbiology')
('01419213', 'Laboratory in General Microbiology')
('01419214', 'Laboratory in Fundamental Microbiology')
('01419301', 'Instrumentation for Microbiology')
('01419340', 'Determinative Bacteriology')
('01419341', 'Bacterial Taxonomy')
('01419351', 'Microbial Physiology')
('01419361', 'Immunology')
('01419371', 'Genetic Systems of Microorganisms')
('01419391', 'Instrument.& Chem.Analysis for Microbio.')
('01419412', 'Analytical Microbiology')
('01419423', 'Actinomycetes')
('01419424', 'Virology')
('01419426', 'Biology of Mushroom')
('01419427', 'Yeast & Yeast Technology')
('01419428', 'Biology & Technology of Microlgae')
('01419434', 'Food Microbiology')
('01419435', 'Microbiology of Milk & Milk Products')
('01419436', 'Industrial Microbiology')
('01419462', 'Microbiology for Food Plant Sanitation')
('01419481', 'Environmental Microbiology')
('01419484', 'Microbiology of Waste Water Treatment')
('01419486', 'Aquatic Microbiology')
('01419488', 'Microbial Ecology')
('01419496', 'Selected Topics in Microbiology')
('01419497', 'Seminar')
('01419499', 'Microbiology Projects')
('01419511', 'Advanced Microbiology')
('01419536', 'Advanced Industrial Microbiology')
('01419553', 'Structure & Function of Fungi')
('01419554', 'Microbial Enzymes')
('01419572', 'Yeast Genetics')
('01419597', 'Seminar')
('01419598', 'Special Problems')
('01419599', 'Thesis')
('01419651', 'Advanced Microbial Physiology')
('01419697', 'Seminar')
('01419698', 'Special Problems')
('01419699', 'Thesis')
('01420111', 'General Physics I')
('01420112', 'General Physics II')
('01420113', 'Laboratory in Physics I')
('01420114', 'Laboratory in Physics II')
('01420115', 'Laboratory in Abridged Physics')
('01420117', 'Basic Physics I')
('01420118', 'Basic Physics II')
('01420119', 'Abridged Physics')
('01420212', 'Mechanics II')
('01420213', 'Mathematical Physics I')
('01420221', 'Modern Physics')
('01420222', 'Laboratory in Modern Physics')
('01420242', 'Instrumentation Workshop II')
('01420246', 'Lab. in Introduction to Digital Electronics')
('01420247', 'Introduction to Metrology')
('01420248', 'Laboratory in Introduction to Metrology')
('01420261', 'Electromagnetics I')
('01420262', 'Laboratory in Electromagnetics')
('01420332', 'Statistical Mechanics')
('01420346', 'Instrumentation Workshop IV')
('01420347', 'Digital Electronics')
('01420348', 'Laboratory in Digital Electronics')
('01420361', 'Introduction to Astronomy I')
('01420362', 'Introduction to Astronomy II')
('01420363', 'Optics')
('01420364', 'Laboratory in Optics')
('01420366', 'Physics of Waves')
('01420373', 'Material Science I')
('01420374', 'Physics of Gemstones')
('01420377', 'Liquid Crystals')
('01420412', 'Atomic-Scale Simulation')
('01420421', 'Quantum Mechanics II')
('01420422', 'Nuclear Physics')
('01420425', 'Particle Physics')
('01420444', 'Microprocessor Application in Physics')
('01420445', 'Lab. in Microprocessor Application in Physics')
('01420452', 'Environmental Physics')
('01420453', 'Energy Resources')
('01420454', 'Solar Energy')
('01420456', 'Atmospheric Physics')
('01420467', 'Cosmology')
('01420472', 'Material Science II')
('01420473', 'Physics of Solid I')
('01420474', 'Physics of Solid II')
('01420475', 'X-ray Crystallography')
('01420478', 'Nanophysics & Nanotechnology')
('01420481', 'Health Physics')
('01420482', 'Biophysics I')
('01420483', 'Biophysics II')
('01420496', 'Selected Topics in Physics')
('01420497', 'Seminar')
('01420498', 'Special Problems')
('01420499', 'Physics Project')
('01420514', 'Thermodynamics & Statistical Physics')
('01420515', 'Classical Electrodynamics')
('01420533', 'Physics of Graphene')
('01420534', 'Physics of Semiconductor')
('01420536', 'Physics of Polymer')
('01420542', 'Physics of Nanostructures')
('01420543', 'Crystals and X-rays I')
('01420553', 'Physics of Radiation Measurement')
('01420561', 'Physics of Laser')
('01420563', 'Quantum Information')
('01420596', 'Selected Topics in Physics')
('01420597', 'Seminar')
('01420598', 'Special Problems')
('01420599', 'Thesis')
('01420621', 'Advanced Quantum Mechanics')
('01420623', 'Quantum Theory of Light')
('01420691', 'Advanced Research Methods in Physics')
('01420692', 'Teaching Experiences in Physics')
('01420696', 'Selected Topics in Physics')
('01420697', 'Seminar')
('01420698', 'Special Problems')
('01420699', 'Thesis')
('01421201', 'Radiation, Life & Environment')
('01421212', 'Nuclear Science')
('01421315', 'Nuclear Techniques in Industry')
('01421316', 'Radiation Imaging Techniques')
('01421321', 'Introduction to Radiobiology')
('01421323', 'Introduction to Nuclear Medicine')
('01421331', 'Environmental Radioactivity')
('01421412', 'X-ray Fluorescence Anlysis')
('01421421', 'Radiation & Mutation')
('01421422', 'Radiation & Isotopes in Agriculture')
('01421441', 'Radiation Safety & Biosafety Standards')
('01421497', 'Seminar')
('01421499', 'Project in Radiation Biosciences')
('01421513', 'Radiation Safety Management')
('01421514', 'Nuclear Instrumental Analysis')
('01421522', 'Induced Mutation Technology in Plants')
('01421527', 'Nuclear Medicine Tecnology')
('01421532', 'Radioecology')
('01421597', 'Seminar')
('01421598', 'Special Problems')
('01421599', 'Thesis')
('01422101', 'Applied Statistics')
('01422111', 'Principles of Statistics')
('01422112', 'Introduction to Biostatistics')
('01422211', 'Statistical Analysis')
('01422221', 'Statistical Data Processing')
('01422311', 'Applied Experimental Design')
('01422321', 'Data Analysis Using Worksheet Program')
('01422322', 'Data Management')
('01422341', 'Mathematical Statistics I')
('01422342', 'Mathematical Statistics II')
('01422412', 'Nonparametric Statistical Methods')
('01422413', 'Statistical Analysis & Experimental Designs')
('01422421', 'Computer Software in Statistics')
('01422424', 'Statistics & Software Package for Science')
('01422425', 'Data Analysis Using SAS')
('01422431', 'Statistics in Biological Sciences')
('01422442', 'Sample Survey Methods')
('01422452', 'Regression Analysis')
('01422455', 'Data Analysis')
('01422456', 'Basic Categorical Data Analysis')
('01422471', 'Investment Statistics')
('01422484', 'Deterministic Operations Research')
('01422485', 'Stochastic Operations Research')
('01422497', 'Seminar')
('01422542', 'Inferential Statistics')
('01422551', 'Statistical Linear Models')
('01422582', 'Operations Research')
('01422597', 'Seminar')
('01422599', 'Thesis')
('01422634', 'Survival Analysis')
('01422642', 'Advanced Statistical Inference')
('01422646', 'Theoretical Statistics')
('01422696', 'Selected Topics in Statistics')
('01422697', 'Seminar')
('01422699', 'Thesis')
('01423113', 'General Zoology')
('01423311', 'Chordate Comparative Anatomy')
('01423351', 'Animal Physiology')
('01423352', 'Animal Physiology Laboratory')
('01423413', 'Animal Microtechnique')
('01423415', 'Embryology of Invertebrates')
('01423416', 'Microanatomy')
('01423417', 'Animal Cell Growth')
('01423421', 'Vertebrate Zoology')
('01423431', 'Animal Taxonomy')
('01423441', 'Invertebrate Zoology')
('01423443', 'Biology of Cnidarian')
('01423447', 'Biology of Freshwater Mussel')
('01423451', 'Endocrinology')
('01423452', 'Using of Laboratory Animals')
('01423453', 'Advanced Animal Physiology')
('01423454', 'Ethology')
('01423455', 'Neurophysiology')
('01423459', 'Endocrinology & Reproduction')
('01423462', 'Nematology')
('01423464', 'Comparative Immunology')
('01423491', 'Basic Research Methods in Zoology')
('01423498', 'Special Problems')
('01423499', 'Project in Zoology')
('01423511', 'Animal Evolution')
('01423545', 'Economic Marine Mollusks')
('01423546', 'Aquatic Insect Indicator of Water Quality')
('01423551', 'Cellular Physiology')
('01423553', 'Vertebrate Physiology')
('01423564', 'Immunology of Parasitic Infections')
('01423583', 'Zoogeography')
('01423596', 'Selected Topics in Zoology')
('01423597', 'Seminar')
('01423598', 'Special Problems')
('01423599', 'Thesis')
('01423651', 'Molecular Endocrinology')
('01423652', 'Animal Molecular Physiology')
('01423696', 'Selected Topics in Zoology')
('01423697', 'Seminar')
('01423699', 'Thesis')
('01424111', 'Principles of Biology')
('01424112', 'Laboratory for Biology')
('01424151', 'Cell Biology for Medical Science')
('01424201', 'Life & Environmental Science')
('01424281', 'Introduction to Biotoxicology')
('01424311', 'Industrial Biology')
('01424331', 'Introduction to Biophysics')
('01424351', 'Cell Biology')
('01424381', 'Ecology')
('01424382', 'Ecology Laboratory')
('01424451', 'Mechanism & Function in the Cell')
('01424452', 'Animal Cell Culture')
('01424455', 'Cell Structure & Function')
('01424458', 'Forensic Biology')
('01424482', 'Pollution Biology')
('01424483', 'Taxonomy & Biodiversity')
('01424484', 'Evolution')
('01424485', 'Bio. Control Agents in Agri. & Public Health')
('01424491', 'Basic Research Methods in Biology')
('01424498', 'Special Problems')
('01424499', 'Project in Biology')
('01424553', 'Cell & Molecular Biology')
('01424557', 'Systems Biology')
('01424558', 'Techinques in Forensic Biology')
('01424581', 'Biogeography')
('01424585', 'Conservation Biology')
('01424597', 'Seminar')
('01424598', 'Special Problems')
('01424599', 'Thesis')
('01425312', 'Urban Environment & Management')
('01425321', 'Soil Pollutants')
('01425431', 'Principles of Environmental Management')
('01425433', 'Environment Management Standard')
('01425461', 'Workplace Safety & Hygiene')
('01425496', 'Selected Topics in Environmental Science')
('01425497', 'Seminar')
('01425499', 'Environment Science Project')
('01425599', 'Thesis')
('01425697', 'Seminar')
('01425699', 'Thesis')
('01426212', 'Radiation Detection & Measurement I')
('01426213', 'Nuclear Chemistry')
('01426221', 'Radiation Protection')
('01426311', 'Radiation Chemistry')
('01426312', 'Radiation Dosimetry')
('01426313', 'Radiation Biophysics')
('01426314', 'Nuclear Facility')
('01426321', 'Radioactive Waste Management')
('01426411', 'Introduction to Nuclear Reactor Theory')
('01426421', 'Radiation Biodosimetry')
('01426431', 'Radioisotope Tracer Techniques & Application')
('01426433', 'Principle of Isotope Hydrology')
('01426497', 'Seminar')
('01426499', 'Project in Nuclear Science')
('01436523', 'Thermal Metrology')
('01436524', 'Laboratory for Thermal Metrology')
('01436531', 'Electrical & Magnetic Metrology')
('01436532', 'Laboratory in Electrical & Magnetic Metrology')
('01436541', 'Advanced Photonic Metrology')
('01436542', 'Laboratory in Advanced Photonic Metrology')
('01436561', 'Manufacturing Metrology')
('01436597', 'Seminar')
('01436599', 'Thesis')
('01441641', 'Diversity of Plant Resources')
('01441662', 'Teaching Experiences in Botany')
('01441697', 'Seminar')
('01441698', 'Special Problems')
('01441699', 'Thesis')
('01442281', 'Materials Science for Architectural Design')
('01442512', 'Synthesis & Fabrication of Naonmaterials')
('01442513', 'Thermodynamics & Kinetics of Nanomaterials')
('01442521', 'Adv.Instrument.& Characterization of Materia.')
('01442523', 'Electron Microscopy & Analysis')
('01442597', 'Seminar')
('01442599', 'Thesis')
('01442611', 'Advanced Thermodynamics & Kinetics Theory')
('01442697', 'Seminar')
('01442699', 'Thesis')
('01443313', 'Python Module for Bioinformatics')
('01443314', 'Lab.in Phython Module for Bioinformatics')
('01444499', 'Project in Bioscience & Technology')
('01449490', 'Cooperative Education')
('01451131', 'Geography of Thailand')
('01451141', 'Physical Geography')
('01451151', 'Map Reading')
('01451211', 'Geography of Globalization')
